Date,"Cushing, OK WTI Spot Price FOB (Dollars per Barrel)",Temp
Jan-1998,16.72,40
Feb-1998,16.06,40.6
Mar-1998,15.12,45.4
Apr-1998,15.35,54
May-1998,14.91,64.3
Jun-1998,13.72,69.2
Jul-1998,14.17,76.5
Aug-1998,13.47,76.7
Sep-1998,15.03,70.2
Oct-1998,14.46,57.6
Nov-1998,13,48.1
Dec-1998,11.35,43.2
Jan-1999,12.52,33.9
Feb-1999,12.01,38.9
Mar-1999,14.68,42.5
Apr-1999,17.31,53.5
May-1999,17.72,63.1
Jun-1999,17.92,73.2
Jul-1999,20.1,81.4
Aug-1999,21.28,75.5
Sep-1999,23.8,69.1
Oct-1999,22.69,56
Nov-1999,25,50.6
Dec-1999,26.1,40
Jan-2000,27.26,31.3
Feb-2000,29.37,37.3
Mar-2000,29.84,47.2
Apr-2000,25.72,51
May-2000,28.79,63.5
Jun-2000,31.82,71.3
Jul-2000,29.7,72.3
Aug-2000,31.26,72.7
Sep-2000,33.88,66
Oct-2000,33.11,57
Nov-2000,34.42,45.3
Dec-2000,28.44,31.1
Jan-2001,29.59,33.6
Feb-2001,29.61,35.9
Mar-2001,27.25,39.6
Apr-2001,27.49,54.2
May-2001,28.63,63.8
Jun-2001,27.6,72.9
Jul-2001,26.43,73.2
Aug-2001,27.37,78.7
Sep-2001,26.2,67.7
Oct-2001,22.17,58.5
Nov-2001,19.64,52.7
Dec-2001,19.39,44.1
Jan-2002,19.72,39.9
Feb-2002,20.72,40.6
Mar-2002,24.53,44.1
Apr-2002,26.18,56.1
May-2002,27.04,60.7
Jun-2002,25.52,71.4
Jul-2002,26.97,78.8
Aug-2002,28.39,77.7
Sep-2002,29.66,70.2
Oct-2002,28.84,55.2
Nov-2002,26.35,46
Dec-2002,29.46,36
Jan-2003,32.95,27.5
Feb-2003,35.83,30.1
Mar-2003,33.51,43.1
Apr-2003,28.17,49.8
May-2003,28.11,58.7
Jun-2003,30.66,68.3
Jul-2003,30.76,75.8
Aug-2003,31.57,76.7
Sep-2003,28.31,67.9
Oct-2003,30.34,55.1
Nov-2003,31.11,50
Dec-2003,32.13,37.6
Jan-2004,34.31,24.7
Feb-2004,34.69,35
Mar-2004,36.74,43.5
Apr-2004,36.75,53.6
May-2004,40.28,65.2
Jun-2004,38.03,71.2
Jul-2004,40.78,74.5
Aug-2004,44.9,74.2
Sep-2004,45.94,69.3
Oct-2004,53.28,56
Nov-2004,48.47,48.2
Dec-2004,43.15,38.4
Jan-2005,46.84,31.3
Feb-2005,48.15,36.5
Mar-2005,54.19,39.4
Apr-2005,52.98,55.1
May-2005,49.83,59.8
Jun-2005,56.35,74
Jul-2005,59,77.5
Aug-2005,64.99,79.7
Sep-2005,65.59,73.3
Oct-2005,62.26,57.9
Nov-2005,58.32,49.6
Dec-2005,59.41,35.3
Jan-2006,65.49,40.9
Feb-2006,61.63,35.7
Mar-2006,62.69,43.1
Apr-2006,69.44,55.7
May-2006,70.84,63.1
Jun-2006,70.95,71
Jul-2006,74.41,77.9
Aug-2006,73.04,75.8
Sep-2006,63.8,66.6
Oct-2006,58.89,56.2
Nov-2006,59.08,51.9
Dec-2006,61.96,43.6
Jan-2007,54.51,37.5
Feb-2007,59.28,28.2
Mar-2007,60.44,42.2
Apr-2007,63.98,50.3
May-2007,63.46,65.2
Jun-2007,67.49,71.4
Jul-2007,74.12,75
Aug-2007,72.36,74
Sep-2007,79.92,70.3
Oct-2007,85.8,63.6
Nov-2007,94.77,45.4
Dec-2007,91.69,37
Jan-2008,92.97,36.5
Feb-2008,95.39,35.8
Mar-2008,105.45,42.6
Apr-2008,112.58,54.9
May-2008,125.4,60.1
Jun-2008,133.88,74
Jul-2008,133.37,78.4
Aug-2008,116.67,73.8
Sep-2008,104.11,68.8
Oct-2008,76.61,55.1
Nov-2008,57.31,45.8
Dec-2008,41.12,38.1
Jan-2009,41.71,27.9
Feb-2009,39.09,36.7
Mar-2009,47.94,42.4
Apr-2009,49.65,54.5
May-2009,59.03,62.5
Jun-2009,69.64,67.5
Jul-2009,64.15,72.7
Aug-2009,71.05,75.7
Sep-2009,69.41,66.3
Oct-2009,75.72,55
Nov-2009,77.99,51.2
Dec-2009,74.47,35.9
Jan-2010,78.33,32.5
Feb-2010,76.39,33.1
Mar-2010,81.2,48.2
Apr-2010,84.29,57.9
May-2010,73.74,65.3
Jun-2010,75.34,74.7
Jul-2010,76.32,81.3
Aug-2010,76.6,77.4
Sep-2010,75.24,71.1
Oct-2010,81.89,58.1
Nov-2010,84.25,47.9
Dec-2010,89.15,32.8
Jan-2011,89.17,29.7
Feb-2011,88.58,36
Mar-2011,102.86,42.3
Apr-2011,109.53,54.3
May-2011,100.9,64.5
Jun-2011,96.26,72.3
Jul-2011,97.3,80.2
Aug-2011,86.33,75.3
Sep-2011,85.52,70
Oct-2011,86.32,57.1
Nov-2011,97.16,51.9
Dec-2011,98.56,43.3
Jan-2012,100.27,37.3
Feb-2012,102.2,40.9
Mar-2012,106.16,50.9
Apr-2012,103.32,54.8
May-2012,94.66,65.1
Jun-2012,82.3,71
Jul-2012,87.9,78.8
Aug-2012,94.13,76.7
Sep-2012,94.51,68.8
Oct-2012,89.49,58
Nov-2012,86.53,43.9
Dec-2012,87.86,41.5
Jan-2013,94.76,35.1
Feb-2013,95.31,33.9
Mar-2013,92.94,40.1
Apr-2013,92.02,53
May-2013,94.51,62.8
Jun-2013,95.77,72.7
Jul-2013,104.67,79.8
Aug-2013,106.57,74.6
Sep-2013,106.29,67.9
Oct-2013,100.54,60.2
Nov-2013,93.86,45.3
Dec-2013,97.63,38.5
Jan-2014,94.62,28.6
Feb-2014,100.82,31.6
Mar-2014,100.8,37.7
Apr-2014,102.07,52.3
May-2014,102.18,64
Jun-2014,105.79,72.5
Jul-2014,103.59,76.1
Aug-2014,96.54,74.5
Sep-2014,93.21,69.7
Oct-2014,84.4,59.6
Nov-2014,75.79,45.3
Dec-2014,59.29,40.5
Jan-2015,47.22,29.9
Feb-2015,50.58,23.9
Mar-2015,47.82,38.1
Apr-2015,54.45,54.3
May-2015,59.27,68.5
Jun-2015,59.82,71.2
Jul-2015,50.9,78.8
Aug-2015,42.87,79
Sep-2015,45.48,74.5
Oct-2015,46.22,58
Nov-2015,42.44,52.8
Dec-2015,37.19,50.8
Jan-2016,31.68,34.5
Feb-2016,30.32,37.7
Mar-2016,37.55,48.9
Apr-2016,40.75,53.3
May-2016,46.71,62.8
Jun-2016,48.76,72.3
Jul-2016,44.65,78.7
Aug-2016,44.72,79.2
Sep-2016,45.18,71.8
Oct-2016,49.78,58.8
Nov-2016,45.66,49.8
Dec-2016,51.97,38.3
Jan-2017,52.5,38
Feb-2017,53.47,41.6
Mar-2017,49.33,39.2
Apr-2017,51.06,57.2
May-2017,48.48,61.1
Jun-2017,45.18,72
Jul-2017,46.63,76.8
Aug-2017,48.04,74
Sep-2017,49.82,70.5
Oct-2017,51.58,64.1
Nov-2017,56.64,46.6
Dec-2017,57.88,33.4
Jan-2018,63.7,31.7
Feb-2018,62.23,
Mar-2018,62.73,
